Average_SAT,Percent_White,Percent_Black,Percent_Asian
421.67,0.09,0.14,0.16
540.67,0.39,0.14,0.11
627,0.35,0.03,0.4
394,0.02,0.71,0.07
366.33,0.14,0.18,0.42
405.67,0.1,0.48,0.04
392,0.07,0.55,0.02
469,0.04,0.7,0.07
406.33,0.05,0.74,0.04
439.67,0.01,0.71,0.02
412.67,0.04,0.64,0.05
405.33,0.02,0.74,0.03
368.33,0.01,0.78,0.01
387,0.01,0.9,0.01
386.67,0,0.91,0.01
403,0.01,0.91,0.01
366.33,0.01,0.9,0.01
462,0.01,0.76,0.05
375.67,0.01,0.83,0.01
387,0.02,0.88,0.01
419.33,0.15,0.18,0.47
440.67,0.19,0.12,0.4
374.67,0.01,0.79,0.01
342.67,0.01,0.73,0.01
478.33,0.01,0.86,0.03
358.33,0.03,0.14,0
601.33,0.14,0.19,0.36
393.67,0.01,0.38,0.01
369,0.02,0.4,0.02
384.33,0.01,0.76,0.03
363.67,0.02,0.72,0.01
336.33,0.01,0.7,0.01
380,0.02,0.74,0
387.33,0.01,0.81,0
445.33,0,0.68,0.02
376.33,0.01,0.36,0.05
308.67,0,0,0
387,0.04,0.61,0.08
386,0.01,0.64,0.06
365.67,0.03,0.2,0.05
395.33,0.01,0.73,0.02
376.67,0.01,0.46,0.05
473.33,0.34,0.05,0.3
526.67,0.23,0.3,0.34
380.33,0.01,0.35,0.01
444.67,0.03,0.36,0.04
396,0.02,0.55,0.02
367.67,0.01,0.12,0
392.33,0.01,0.46,0.01
437.67,0.1,0.16,0.03
415.33,0.04,0.32,0.02
400.33,0,0.88,0
401.67,0.01,0.83,0
432.67,0.01,0.86,0.03
402.33,0.01,0.86,0.02
395,0.02,0.87,0.01
367.33,0.06,0.72,0.04
442,0.53,0.05,0.16
368,0.26,0.09,0.41
404,0.23,0.17,0.16
442.33,0.28,0.04,0.39
375.33,0.14,0.52,0.07
461.67,0.43,0.26,0.07
419.33,0.06,0.47,0.07
547.67,0.31,0.26,0.1
392.33,0.04,0.46,0.08
419.33,0.03,0.66,0.02
475,0.01,0.85,0.03
438.67,0.02,0.7,0.02
632,0.21,0.08,0.61
496.67,0.05,0.72,0.08
453.33,0.16,0.08,0.18
380.33,0,0.08,0
393,0.01,0.71,0.03
389.33,0.02,0.72,0.06
381,0,0.17,0.01
358.67,0.03,0.56,0.02
404,0.02,0.63,0.01
442,0.14,0.29,0.36
429,0.44,0.23,0.1
384,0.01,0.83,0.01
415.33,0.01,0.8,0.05
502,0.01,0.91,0.03
413,0.01,0.9,0.02
315.33,0.13,0.29,0.18
379.33,0.03,0.82,0.02
490.33,0.01,0.87,0.04
392,0.01,0.85,0.02
367,0.02,0.85,0.02
371.67,0.02,0.83,0.03
378,0.01,0.85,0.04
462,0.44,0.17,0.21
483.67,0.27,0.23,0.27
405.33,0.09,0.39,0.06
386.33,0.07,0.09,0.07
396,0,0.88,0.01
386.33,0.01,0.82,0.01
546.67,0.59,0.1,0.19
428.33,0.2,0.4,0.15
408.67,0.06,0.69,0.05
383.67,0.04,0.79,0.03
400.33,0.01,0.85,0.02
418.33,0,0.82,0.03
399,0.03,0.86,0.01
398.67,0.01,0.89,0.01
381.67,0.02,0.82,0.01
389.33,0.01,0.86,0.02
453.67,0.02,0.15,0.06
359.67,0.03,0.21,0.01
359.67,0.02,0.19,0.02
381.67,0.01,0.23,0.01
386.33,0.02,0.84,0.01
418.67,0.04,0.24,0.2
476.33,0.05,0.15,0.61
375.67,0.03,0.03,0.56
487.33,0.5,0.09,0.16
495.67,0.18,0.13,0.4
526,0.15,0.2,0.44
510,0.15,0.07,0.54
498.33,0.19,0.2,0.36
436.33,0.18,0.13,0.31
438,0.05,0.18,0.29
660.33,0.22,0.06,0.59
403.67,0.04,0.08,0.1
425.67,0.06,0.08,0.1
475.67,0.36,0.02,0.18
326,0,0,0
