Borough,City,Student_Enrollment,Percent_White,Percent_Black,Percent_Asian,Average_Score_SAT_Math,Average_Score_SAT_Reading,Average_Score_SAT_Writing,Percent_Tested,Average_SAT
Queens,Elmhurst,1921,0.04,0.08,0.24,434,401,389,0.39,408.00
Queens,Forest Hills,3840,0.3,0.1,0.25,517,485,483,0.73,495.00
Queens,Forest Hills,1035,0.36,0.04,0.11,460,448,449,0.76,452.33
Queens,Ridgewood,1828,0.19,0.05,0.1,452,422,416,0.39,430.00
Queens,Cambria Heights,525,0.01,0.81,0.06,384,409,401,0.6,398.00
Queens,Cambria Heights,433,0.02,0.72,0.1,380,418,388,0.55,395.33
Queens,Saint Albans,599,0.01,0.9,0.03,405,427,409,0.72,413.67
Queens,Springfield Gardens,491,0.01,0.83,0.04,384,407,400,0.7,397.00
Queens,Springfield Gardens,552,0.02,0.81,0.04,398,410,393,0.7,400.33
Queens,Springfield Gardens,492,0.01,0.81,0.04,423,422,403,0.84,416.00
Queens,Springfield Gardens,509,0.02,0.76,0.09,439,428,419,0.64,428.67
Queens,Ozone Park,959,0.12,0.11,0.36,489,457,451,0.79,465.67
Queens,Ozone Park,2634,0.03,0.24,0.31,418,401,395,0.38,404.67
Queens,Ozone Park,602,0.18,0.07,0.29,426,435,424,0.85,428.33
Queens,Richmond Hill,2175,0.05,0.14,0.31,413,406,399,0.38,406.00
Queens,Hollis,372,0.02,0.79,0.07,418,424,411,0.59,417.67
Queens,Bellerose,1120,0.08,0.48,0.25,453,434,439,0.72,442.00
Queens,Queens Village,1742,0.04,0.53,0.27,397,396,391,0.4,394.67
Queens,Jamaica,779,0.03,0.38,0.43,524,511,514,0.93,516.33
Queens,Jamaica,516,0.02,0.43,0.41,487,460,463,0.79,470.00
Queens,Jamaica,418,0.05,0.42,0.23,415,392,386,0.72,397.67
Queens,Jamaica,557,0.02,0.48,0.27,415,420,433,0.9,422.67
Queens,Jamaica,661,0.04,0.53,0.25,455,439,441,0.75,445.00
Queens,Jamaica,3286,0.04,0.3,0.35,448,432,426,0.52,435.33
Queens,Jamaica,2098,0.04,0.21,0.49,514,473,470,0.8,485.67
Queens,Jamaica,464,0.03,0.38,0.28,409,399,404,0.63,404.00
Queens,Jamaica,611,0.01,0.58,0.29,496,481,473,0.93,483.33
Queens,Jamaica,426,0.06,0.07,0.75,701,621,625,0.98,649.00
Queens,Jamaica,604,0.02,0.66,0.1,410,431,409,0.57,416.67
Queens,Jamaica,679,0.02,0.75,0.08,366,372,364,0.26,367.33
Queens,Far Rockaway,409,0.01,0.6,0.02,410,418,407,0.3,411.67
Queens,Far Rockaway,637,0.03,0.5,0.07,422,424,415,0.68,420.33
Queens,Far Rockaway,381,0.02,0.49,0.04,372,362,352,0.45,362.00
Queens,Rockaway Park,368,0.15,0.47,0.04,357,381,376,0.39,371.33
Queens,Rockaway Park,683,0.11,0.53,0.06,427,430,423,0.77,426.67
Queens,Rockaway Park,397,0.04,0.53,0.05,399,403,405,0.47,402.33
Queens,Rockaway Park,1302,0.35,0.23,0.21,588,560,568,0.99,572.00
